station,basin,basin_num,location,rivmile,rivmile_num,coll_date,crew,arrivetime,date_time,samp,landuse,depth,depth_notes,width,width_notes,cur_spd,cur_spd_notes,canopy,embedd,embedd_notes,rock,rock_notes,rubble,rubble_notes,gravel,gravel_notes,sand,sand_notes,silt,silt_notes,clay,clay_notes,temp,cond,do,ph,ph_notes,percent_sat,salinity,salinity_notes,secchi,secchi_notes,algae_s,alg_s_notes,algae_fil,alg_fil_notes,algae_d,alg_d_num,thickness_d,macro,macro_num,ephem,plecop,trich,coleop,megalop,odonta,chir,simul,decapod,gammar,mollusk,oligo,others,field_wqa,habitat,org_for_toxics,microtox,lgs_hab_bnk,lgs_hab_mac,lgs_hab_sng,lgs_hab_sub,bottom_type,dom_substrate,wtrclr_driver,pht_id_up,pht_id_dwn,notes
13-walk-2.1,b_13,13,walk,r_2.1,2.1,8/24/2017,"heitzman, mosher, lojpersberger",12:39,2017-08-24 12:39:00,sampled,null,1.2,null,75,null,,null,0,,null,,null,,null,,null,,null,,null,,null,26.5,465.1,6.65,7.81,null,83.5,,null,0.6,null,n,null,n,null,,0,,n,0,n,n,n,n,n,n,n,n,n,n,n,n,null,null,adequate,n,n,null,null,null,null,null,null,null,15036627940001.jpg,15036627940002.jpg,collected both
13-walk-60.1,b_13,13,walk,r_60.1,60.1,8/24/2017,"heitzman, mosher, lojpersberger",10:27,2017-08-24 10:27:00,sampled,null,2.5,null,25,null,5,null,20,5,null,,null,,null,,null,,null,,null,,null,22.5,546,4.4,7.5,null,50,,null,0.4,null,n,null,n,null,,10,1,x,20,n,n,n,n,n,n,n,n,n,n,n,n,null,null,null,n,n,null,null,null,null,null,null,null,15036627940003.jpg,15036627940004.jpg,multiplate site slow muddy appears to be a recently fallen tree apprx 10 meters up from plates
13-wklei-0.6,b_13,13,wklei,r_0.6,0.6,8/3/2017,"nye, onion",17:15,2017-08-03 17:15:00,sampled,null,0.1,null,1.5,null,16,null,60,,null,,null,,null,34,null,33,null,33,null,,null,24.1,247,7.2,7.88,null,86,0.12,null,,null,x,null,n,null,,10,1,n,0,x,n,x,x,n,n,x,n,x,n,x,x,null,good,low flow,n,x,null,null,null,null,null,null,null,15018566710021.jpg,15018566710022.jpg,red midges
13-gunk-0.4,b_13,13,gunk,r_0.4,0.4,8/3/2017,"nye, onion",15:53,2017-08-03 15:53:00,sampled,null,0.3,null,15,null,33,null,80,45,null,30,null,30,null,10,null,30,null,,null,0,null,28.1,281,7.7,8.32,null,97,0.13,null,,null,x,null,n,null,,10,1,n,0,x,x,x,x,x,n,x,x,n,n,n,n,null,very good,adequate,n,x,null,null,null,null,null,null,null,15018566710001.jpg,15018566710002.jpg,
13-walk-19.0,b_13,13,walk,r_19,19,8/3/2017,"nye, onion",14:20,2017-08-03 14:20:00,sampled,null,1,null,25,null,33,null,0,15,null,80,null,6,null,8,null,6,null,,null,,null,25.6,395.6,9.6,7.98,null,118,0.19,null,,null,x,null,n,null,,20,2,x,10,x,n,x,x,n,n,n,n,x,x,x,n,null,good,bedrock,n,x,null,null,null,null,null,null,null,15018566710007.jpg,15018566710008.jpg,"leech, planerian, curly pond leaf, sow bug"
13-walk-22.8,b_13,13,walk,r_22.8,22.8,8/3/2017,"nye, onion",13:15,2017-08-03 13:15:00,sampled,null,0.7,null,30,null,33,null,0,15,null,50,null,16,null,16,null,18,null,,null,,null,24,359,8.4,7.7,null,102,0.17,null,,null,x,null,n,null,,0,1,n,0,x,n,x,x,n,x,x,n,x,x,x,x,null,good,bedrock,n,x,null,null,null,null,null,null,null,15018566710009.jpg,15018566710010.jpg,"leech, sewage odor."
13-walk-26.9,b_13,13,walk,r_26.9,26.9,8/3/2017,"nye, onion",11:48,2017-08-03 11:48:00,sampled,null,0.7,null,30,null,50,null,20,5,null,50,null,20,null,10,null,20,null,,null,,null,21.6,388,8.9,7.77,null,101,0.19,null,,null,x,null,n,null,,50,1,n,0,x,n,x,x,x,n,n,n,x,x,x,x,null,good,bedrock,n,x,null,null,null,null,null,null,null,15018566710011.jpg,15018566710012.jpg,"leech, water level very high, there is a sewage smell."
13-walk-29.9,b_13,13,walk,r_29.9,29.9,8/3/2017,"nye, onion",9:54,2017-08-03 09:54:00,sampled,null,0.7,null,30,null,33,null,25,0,null,80,null,5,null,5,null,5,null,5,null,,null,23.3,568,7.8,7.72,null,92,0.27,null,,null,x,null,n,null,,100,1,x,10,x,n,x,x,n,n,x,n,x,x,x,x,null,good,bedrock,n,x,null,null,null,null,null,null,null,15018566710013.jpg,15018566710014.jpg,leech
13-walk-35.6,b_13,13,walk,r_35.6,35.6,8/2/2017,"smith, onion",14:10,2017-08-02 14:10:00,sampled,null,0.3,null,40,null,66,null,6,25,null,5,null,20,null,40,null,30,null,5,null,0,null,26,616,8,7.8,null,100,,null,,null,n,null,x,null,,100,2,n,0,x,n,x,x,n,n,x,n,n,x,n,x,null,poor,bedrock,n,x,null,null,null,null,null,null,null,15018566710015.jpg,15018566710016.jpg,"turbid, slight odor here. bedrock dominated the riffle here."
13-qker-0.9,b_13,13,qker,r_0.9,0.9,8/2/2017,"smith, onion",12:54,2017-08-02 12:54:00,sampled,null,0.2,null,5,null,30,null,0,40,null,5,null,20,null,35,null,10,null,30,null,0,null,26,664,14,8.2,null,182,,null,,null,x,null,x,null,,100,5,x,20,n,n,x,n,n,n,x,n,n,n,n,x,null,very poor,adequate,n,x,null,null,null,null,null,null,null,15018566710005.jpg,15018566710006.jpg,visible sewage scum on surface of stream in depositional areas. abundant weed and algae growth. sewage odor and flocculent material that looks like sewage flowing in the water column. really a gross site. surprisingly there was a live eliptio mussel here.
13-wchee-0.6,b_13,13,wchee,r_0.6,0.6,8/2/2017,"smith, onion",11:49,2017-08-02 11:49:00,sampled,null,0.1,null,3,null,30,null,34,25,null,0,null,20,null,40,null,20,null,20,null,0,null,23,1038,5.5,7.6,null,65,,null,,null,n,null,x,null,,100,4,x,20,n,n,x,n,n,n,x,x,x,x,x,x,"sowbugs, flatworms, leeches",very poor,adequate,n,x,null,null,null,null,null,null,null,15018566710019.jpg,15018566710020.jpg,"very turbid, water clarity is terrible and the stream is very shallow. inverts are very poor."
13-walk-46.6,b_13,13,walk,r_46.6,46.6,8/2/2017,"smith, onion",11:24,2017-08-02 11:24:00,sampled,null,0.3,null,15,null,73,null,32,40,null,20,null,30,null,20,null,10,null,20,null,0,null,23,577,7,7.7,null,81,,null,,null,x,null,x,null,,100,3,n,0,n,n,x,n,n,n,x,n,x,n,x,x,null,poor,adequate,n,x,null,null,null,null,null,null,null,15018566710017.jpg,15018566710018.jpg,"poor invert community, no mayflies or stoneflies. low biomass. very turbid and smells of sewage."
13-monh-0.4,b_13,13,monh,r_0.4,0.4,8/2/2017,"smith, onion",9:55,2017-08-02 09:55:00,sampled,null,0.2,null,5,null,40,null,69,25,null,10,null,40,null,30,null,10,null,10,null,0,null,22,1073,8.1,6.9,null,93,,null,,null,n,null,n,null,,100,1,n,0,x,n,x,x,x,n,x,n,x,n,n,x,null,good,adequate,n,x,null,null,null,null,null,null,null,15018566710003.jpg,15018566710004.jpg,"community looks ok, surprisingly no stoneflies given the rest of the invertebrate community"
13-walk-60.1,b_13,13,walk,r_60.1,60.1,7/18/2017,"onion, woltmann",11:20,2017-07-18 11:20:00,sampled,null,4,null,15,null,5,null,0,,null,,null,,null,,null,,null,,null,,null,23.9,518,6.2,7.4,null,74,0.25,null,0.3,null,n,null,n,null,,0,,x,10,n,n,n,n,n,n,n,n,n,n,n,n,null,null,null,n,n,null,null,null,null,null,null,null,15004072660003.jpg,15004072660004.jpg,deployed 2 multiplates for walk ras 40m below bridge
13-walk-2.1,b_13,13,walk,r_2.1,2.1,7/18/2017,"onion, woltmann",9:31,2017-07-18 09:31:00,sampled,null,1.4,null,40,null,20,null,0,,null,,null,,null,,null,,null,,null,,null,26.4,502,7,6.99,null,89,,null,0.9,null,n,null,n,null,,0,,n,0,n,n,n,n,n,n,n,n,n,n,n,n,null,null,null,n,n,null,null,null,null,null,null,null,15004072660001.jpg,15004072660002.jpg,deployed 2 multiplates for walk ras across river from fishing pull off
